VendaID,ProdutoID,ValorVenda,DataVenda,Localizacao,ClienteID,Nome,Idade,PreferenciaProduto
18,164,55.41,2024-09-27,Rocha Verde,18,Luiz Felipe da Rosa,69,Livros
19,116,41.48,2024-06-25,Andrade,19,Dra. Luara Duarte,54,Eletrodomésticos
19,116,41.48,2024-06-25,Andrade,291,Alícia Fernandes,63,Eletrodomésticos
19,116,41.48,2024-06-25,Andrade,398,Benjamim Mendonça,56,Livros
19,116,41.48,2024-06-25,Andrade,570,Liam Pereira,40,Roupas
19,116,41.48,2024-06-25,Andrade,867,Pietro Silva,46,Jogos
19,116,41.48,2024-06-25,Andrade,989,Sr. Antony Nogueira,63,Jogos
20,108,21.54,2024-03-21,Guerra,20,Luiz Otávio Teixeira,75,Roupas
20,108,21.54,2024-03-21,Guerra,280,Srta. Maria Teixeira,47,Roupas
20,108,21.54,2024-03-21,Guerra,308,Luiz Felipe Ramos,71,Jogos
20,108,21.54,2024-03-21,Guerra,455,Luiz Felipe Sales,47,Eletrodomésticos
20,108,21.54,2024-03-21,Guerra,500,Alícia Pires,50,Eletrônicos
20,108,21.54,2024-03-21,Guerra,562,Gustavo Henrique Almeida,75,Roupas
20,108,21.54,2024-03-21,Guerra,597,Guilherme Nunes,74,Roupas
20,108,21.54,2024-03-21,Guerra,716,Letícia Melo,33,Eletrônicos
20,108,21.54,2024-03-21,Guerra,798,João Lucas da Cruz,41,Eletrodomésticos
21,122,25.19,2024-02-06,Souza,21,Ester Barros,76,Eletrodomésticos
21,122,25.19,2024-02-06,Souza,62,Joana Fogaça,40,Livros
21,122,25.19,2024-02-06,Souza,117,Maria Julia Sampaio,56,Eletrodomésticos
21,122,25.19,2024-02-06,Souza,252,Manuela Cardoso,66,Roupas
21,122,25.19,2024-02-06,Souza,284,Ester Moraes,30,Eletrônicos
21,122,25.19,2024-02-06,Souza,599,Eloá Peixoto,54,Eletrônicos
21,122,25.19,2024-02-06,Souza,607,Rafael Campos,42,Eletrônicos
21,122,25.19,2024-02-06,Souza,632,Dante Santos,46,Eletrônicos
21,122,25.19,2024-02-06,Souza,662,Yan Andrade,31,Roupas
21,122,25.19,2024-02-06,Souza,927,Kaique Cirino,39,Roupas
21,122,25.19,2024-02-06,Souza,1000,Dra. Brenda Nogueira,19,Eletrodomésticos
22,193,8.54,2024-01-16,Alves de Minas,22,Dr. Fernando Cassiano,71,Jogos
23,168,7.35,2024-07-28,Pimenta Verde,23,Sra. Raquel Guerra,69,Eletrônicos
24,154,22.66,2024-02-29,Pereira,24,Sr. Lucas Viana,74,Eletrônicos
24,154,22.66,2024-02-29,Pereira,297,Sra. Ana Júlia Monteiro,54,Livros
24,154,22.66,2024-02-29,Pereira,349,Luiz Fernando Teixeira,55,Roupas
24,154,22.66,2024-02-29,Pereira,465,Srta. Laura Monteiro,53,Livros
24,154,22.66,2024-02-29,Pereira,558,Maria Pires,76,Livros
24,154,22.66,2024-02-29,Pereira,814,Joaquim Rios,64,Jogos
24,154,22.66,2024-02-29,Pereira,923,Luana Fogaça,69,Eletrodomésticos
25,140,32.93,2024-01-22,Pastor da Prata,25,Noah Barros,35,Jogos
26,104,76.78,2024-05-28,Novais,26,Maria Clara Nascimento,64,Eletrônicos
26,104,76.78,2024-05-28,Novais,751,Dra. Heloisa Cunha,59,Eletrodomésticos
26,104,76.78,2024-05-28,Novais,779,Esther Oliveira,19,Livros
27,126,46.63,2024-05-16,Mendonça,27,Aylla Fonseca,45,Eletrônicos
27,126,46.63,2024-05-16,Mendonça,221,Dr. João Miguel Ribeiro,65,Eletrodomésticos
27,126,46.63,2024-05-16,Mendonça,307,Júlia Correia,29,Livros
27,126,46.63,2024-05-16,Mendonça,358,Pedro Henrique Macedo,78,Eletrodomésticos
27,126,46.63,2024-05-16,Mendonça,837,Pietra Azevedo,27,Roupas
28,133,39.02,2023-12-20,Nascimento de Minas,28,Miguel Moraes,54,Eletrônicos
29,103,59.86,2024-05-23,Campos das Pedras,29,Bruna Novaes,19,Eletrodomésticos
30,104,22.35,2024-03-12,Silva Paulista,30,Srta. Emanuella Camargo,74,Eletrodomésticos
31,121,98.04,2024-01-28,Mendes,31,Miguel Araújo,48,Jogos
31,121,98.04,2024-01-28,Mendes,634,Erick Nogueira,37,Eletrônicos
32,118,50.21,2024-01-03,Marques das Flores,32,Dr. Felipe Martins,38,Eletrônicos
33,193,69.4,2024-04-22,Alves,33,Alícia da Mata,59,Eletrônicos
33,193,69.4,2024-04-22,Alves,219,Ana Cecília das Neves,67,Eletrodomésticos
33,193,69.4,2024-04-22,Alves,637,Esther Fogaça,57,Livros
33,193,69.4,2024-04-22,Alves,806,Leandro Guerra,27,Eletrodomésticos
34,198,49.68,2024-08-06,Monteiro do Norte,34,Antonella Castro,27,Livros
34,198,49.68,2024-08-06,Monteiro do Norte,200,Ana Vitória Cassiano,54,Jogos
35,102,33.47,2024-09-27,Sales Paulista,35,Maria Júlia Barbosa,56,Jogos
36,190,36.45,2023-10-14,da Conceição,36,Henry Aragão,23,Eletrônicos
36,190,36.45,2023-10-14,da Conceição,71,Vitor Hugo Ramos,75,Jogos
36,190,36.45,2023-10-14,da Conceição,127,Eduardo Aragão,31,Eletrônicos
36,190,36.45,2023-10-14,da Conceição,728,Sr. João Guilherme Câmara,45,Livros
37,191,15.98,2024-08-09,Peixoto,3,Davi Lucca Aparecida,31,Roupas
37,191,15.98,2024-08-09,Peixoto,37,Srta. Maria Eduarda da Cruz,55,Eletrodomésticos
37,191,15.98,2024-08-09,Peixoto,120,Rafaela Andrade,57,Eletrônicos
37,191,15.98,2024-08-09,Peixoto,482,Luan da Conceição,26,Jogos
37,191,15.98,2024-08-09,Peixoto,691,João Miguel Santos,21,Eletrodomésticos
37,191,15.98,2024-08-09,Peixoto,855,Daniela Araújo,23,Eletrônicos
38,159,10.84,2024-05-15,Siqueira,38,Sra. Ayla Souza,67,Eletrônicos
38,159,10.84,2024-05-15,Siqueira,123,Bruna Azevedo,75,Jogos
38,159,10.84,2024-05-15,Siqueira,199,Yago Araújo,47,Roupas
38,159,10.84,2024-05-15,Siqueira,353,Eduardo Martins,26,Eletrônicos
38,159,10.84,2024-05-15,Siqueira,838,Yan da Conceição,36,Eletrodomésticos
38,159,10.84,2024-05-15,Siqueira,977,Erick Fogaça,30,Livros
39,184,25.1,2024-02-12,Costela,39,Sr. Davi Lucas Barros,59,Eletrônicos
39,184,25.1,2024-02-12,Costela,57,Luiz Fernando Leão,19,Livros
39,184,25.1,2024-02-12,Costela,109,Lunna Vieira,18,Livros
39,184,25.1,2024-02-12,Costela,411,Helena Santos,52,Eletrônicos
39,184,25.1,2024-02-12,Costela,491,Dr. Luan Machado,74,Eletrônicos
40,189,53.3,2023-11-16,Vieira,40,Dr. José Miguel Santos,55,Livros
40,189,53.3,2023-11-16,Vieira,138,Elisa Silva,34,Livros
40,189,53.3,2023-11-16,Vieira,462,Murilo Sampaio,61,Roupas
40,189,53.3,2023-11-16,Vieira,513,Helena Fogaça,67,Eletrônicos
40,189,53.3,2023-11-16,Vieira,954,Davi Lucas Aparecida,61,Eletrodomésticos
41,155,45.44,2024-09-16,Garcia,41,Levi Ramos,27,Roupas
41,155,45.44,2024-09-16,Garcia,330,Ravi Lucca Cardoso,77,Eletrodomésticos
41,155,45.44,2024-09-16,Garcia,355,Gabriel Costela,28,Eletrônicos
41,155,45.44,2024-09-16,Garcia,477,Juan Porto,77,Livros
41,155,45.44,2024-09-16,Garcia,586,Fernando Guerra,70,Eletrônicos
41,155,45.44,2024-09-16,Garcia,689,Leandro Novaes,65,Jogos
42,192,49.12,2024-01-01,Barros,42,Dra. Laís Rios,28,Livros
42,192,49.12,2024-01-01,Barros,344,Paulo Dias,73,Livros
42,192,49.12,2024-01-01,Barros,893,Nathan Silva,63,Jogos
42,192,49.12,2024-01-01,Barros,936,Enzo Viana,59,Livros
43,185,8.88,2024-08-07,Abreu do Norte,43,Luiz Fernando Correia,43,Eletrônicos
44,166,18.86,2023-10-26,Nascimento de da Mata,44,Asafe da Mata,52,Eletrônicos
45,120,65.21,2024-07-09,Moreira de Monteiro,45,Sr. Davi Lucas Campos,53,Livros
46,152,47.9,2024-03-01,Rodrigues de da Rosa,46,Sra. Stephany Marques,23,Eletrônicos
47,169,39.45,2024-07-04,Monteiro dos Dourados,47,Marina Cardoso,38,Eletrodomésticos
48,182,68.29,2024-07-02,Lima de Goiás,48,Vicente da Mata,43,Roupas
48,182,68.29,2024-07-02,Lima de Goiás,758,Théo Nogueira,55,Eletrodomésticos
49,107,85.51,2024-05-04,Sampaio,49,Maria Helena Pacheco,33,Eletrodomésticos
49,107,85.51,2024-05-04,Sampaio,283,Sra. Eduarda da Rocha,62,Eletrônicos
49,107,85.51,2024-05-04,Sampaio,871,Igor Machado,27,Eletrônicos
49,107,85.51,2024-05-04,Sampaio,909,Breno Campos,74,Jogos
50,145,39.33,2024-04-27,da Luz de Goiás,50,Luiza Moraes,28,Jogos
51,179,5.85,2023-10-10,Pastor da Serra,51,Liz da Luz,68,Roupas
52,161,88.5,2024-01-21,da Mata de da Mota,52,Rafael Cavalcante,72,Jogos
53,139,48.31,2024-02-05,Lopes de Alves,53,Srta. Daniela Gomes,29,Eletrodomésticos
54,195,94.74,2023-11-10,Silveira,54,Luiz Miguel Casa Grande,58,Livros
54,195,94.74,2023-11-10,Silveira,134,Fernando Cunha,56,Eletrônicos
54,195,94.74,2023-11-10,Silveira,590,Carlos Eduardo Silveira,50,Livros
54,195,94.74,2023-11-10,Silveira,933,Ester Albuquerque,63,Livros
55,151,25.68,2024-03-13,Viana dos Dourados,55,Helena Novaes,69,Jogos
56,180,93.64,2024-07-24,Cardoso,56,Vinícius Ribeiro,80,Eletrônicos
56,180,93.64,2024-07-24,Cardoso,92,Sophie Siqueira,68,Jogos
56,180,93.64,2024-07-24,Cardoso,384,Sr. Caleb Jesus,63,Jogos
56,180,93.64,2024-07-24,Cardoso,512,Caroline Azevedo,70,Livros
57,124,4.25,2024-09-24,Costela,39,Sr. Davi Lucas Barros,59,Eletrônicos
57,124,4.25,2024-09-24,Costela,57,Luiz Fernando Leão,19,Livros
57,124,4.25,2024-09-24,Costela,109,Lunna Vieira,18,Livros
57,124,4.25,2024-09-24,Costela,411,Helena Santos,52,Eletrônicos
57,124,4.25,2024-09-24,Costela,491,Dr. Luan Machado,74,Eletrônicos
58,128,58.75,2024-08-09,Sá,11,Isabelly Farias,18,Livros
58,128,58.75,2024-08-09,Sá,58,Dom Albuquerque,78,Roupas
58,128,58.75,2024-08-09,Sá,422,Sr. Pedro Lucas da Luz,46,Roupas
58,128,58.75,2024-08-09,Sá,631,Dr. José Miguel da Costa,73,Livros
59,150,94.86,2024-03-22,Martins do Campo,59,Maria Cecília Castro,39,Eletrodomésticos
60,152,96.45,2024-03-23,Correia,60,Natália Jesus,36,Eletrodomésticos
60,152,96.45,2024-03-23,Correia,172,Antonella Farias,34,Jogos
60,152,96.45,2024-03-23,Correia,333,Manuela das Neves,36,Eletrônicos
60,152,96.45,2024-03-23,Correia,409,Evelyn Araújo,30,Jogos
60,152,96.45,2024-03-23,Correia,900,Enzo Gonçalves,51,Livros
61,142,72.06,2023-12-17,Almeida,61,Asafe da Mata,60,Eletrônicos
61,142,72.06,2023-12-17,Almeida,112,Heitor Pastor,33,Roupas
61,142,72.06,2023-12-17,Almeida,167,Leonardo da Mota,80,Eletrodomésticos
61,142,72.06,2023-12-17,Almeida,604,Luan Mendes,58,Roupas
61,142,72.06,2023-12-17,Almeida,620,Vinicius Pires,38,Eletrônicos
61,142,72.06,2023-12-17,Almeida,761,Ana Liz Câmara,44,Eletrodomésticos
61,142,72.06,2023-12-17,Almeida,901,Srta. Clara Marques,44,Eletrônicos
62,114,82.2,2024-07-26,Souza,21,Ester Barros,76,Eletrodomésticos
62,114,82.2,2024-07-26,Souza,62,Joana Fogaça,40,Livros
62,114,82.2,2024-07-26,Souza,117,Maria Julia Sampaio,56,Eletrodomésticos
62,114,82.2,2024-07-26,Souza,252,Manuela Cardoso,66,Roupas
62,114,82.2,2024-07-26,Souza,284,Ester Moraes,30,Eletrônicos
62,114,82.2,2024-07-26,Souza,599,Eloá Peixoto,54,Eletrônicos
62,114,82.2,2024-07-26,Souza,607,Rafael Campos,42,Eletrônicos
62,114,82.2,2024-07-26,Souza,632,Dante Santos,46,Eletrônicos
62,114,82.2,2024-07-26,Souza,662,Yan Andrade,31,Roupas
62,114,82.2,2024-07-26,Souza,927,Kaique Cirino,39,Roupas
62,114,82.2,2024-07-26,Souza,1000,Dra. Brenda Nogueira,19,Eletrodomésticos
63,163,26.64,2024-09-25,Gonçalves,63,Liam Freitas,46,Eletrodomésticos
63,163,26.64,2024-09-25,Gonçalves,228,João Guilherme Nogueira,57,Eletrodomésticos
63,163,26.64,2024-09-25,Gonçalves,236,Marcela Sampaio,56,Livros
63,163,26.64,2024-09-25,Gonçalves,450,João Monteiro,27,Livros
63,163,26.64,2024-09-25,Gonçalves,717,Beatriz Aragão,27,Eletrodomésticos
64,176,73.3,2024-04-26,Aparecida,15,João Monteiro,54,Eletrodomésticos
64,176,73.3,2024-04-26,Aparecida,64,Yasmin Cassiano,41,Livros
64,176,73.3,2024-04-26,Aparecida,444,Lucca Câmara,55,Roupas
64,176,73.3,2024-04-26,Aparecida,538,Ayla Duarte,28,Livros
64,176,73.3,2024-04-26,Aparecida,548,Sr. Ravy Câmara,53,Eletrodomésticos
64,176,73.3,2024-04-26,Aparecida,664,Isaac Nunes,59,Roupas
64,176,73.3,2024-04-26,Aparecida,876,Arthur Campos,80,Livros
65,166,98.88,2024-09-14,Lima,65,Sr. João Lucas Novaes,78,Eletrônicos
65,166,98.88,2024-09-14,Lima,524,Cauê Vasconcelos,60,Roupas
65,166,98.88,2024-09-14,Lima,630,Alana Porto,49,Livros
66,165,12.78,2024-03-08,Guerra da Praia,66,Bruno da Conceição,21,Eletrodomésticos
67,145,17.6,2024-05-08,Azevedo Alegre,67,Dr. Luiz Otávio Sá,25,Eletrônicos
67,145,17.6,2024-05-08,Azevedo Alegre,171,Ana Beatriz Albuquerque,47,Roupas
68,141,9.42,2023-10-06,Siqueira da Serra,68,Olivia Machado,64,Roupas
69,162,63.9,2024-03-26,Casa Grande Grande,69,Júlia Silveira,80,Livros
70,134,56.55,2024-04-30,Montenegro,70,Davi Lucca Sampaio,29,Eletrônicos
70,134,56.55,2024-04-30,Montenegro,302,Antony das Neves,51,Eletrônicos
70,134,56.55,2024-04-30,Montenegro,501,Daniela da Mata,64,Jogos
70,134,56.55,2024-04-30,Montenegro,850,Léo Cavalcante,35,Livros
70,134,56.55,2024-04-30,Montenegro,968,Gabriel Pastor,49,Livros
71,103,20.36,2024-04-27,da Conceição,36,Henry Aragão,23,Eletrônicos
71,103,20.36,2024-04-27,da Conceição,71,Vitor Hugo Ramos,75,Jogos
71,103,20.36,2024-04-27,da Conceição,127,Eduardo Aragão,31,Eletrônicos
71,103,20.36,2024-04-27,da Conceição,728,Sr. João Guilherme Câmara,45,Livros
72,165,17.41,2024-09-19,Vasconcelos,72,Kevin Silveira,30,Eletrônicos
72,165,17.41,2024-09-19,Vasconcelos,106,Gustavo Freitas,79,Eletrônicos
72,165,17.41,2024-09-19,Vasconcelos,393,Cauã Lima,80,Eletrônicos
72,165,17.41,2024-09-19,Vasconcelos,533,Sr. Davi Miguel Oliveira,24,Livros
72,165,17.41,2024-09-19,Vasconcelos,576,Mariana da Costa,48,Eletrodomésticos
73,131,14.58,2024-06-08,Pastor,73,Ravi Lucca Pires,65,Eletrônicos
73,131,14.58,2024-06-08,Pastor,210,Srta. Valentina da Costa,33,Roupas
73,131,14.58,2024-06-08,Pastor,392,Camila Guerra,60,Eletrônicos
73,131,14.58,2024-06-08,Pastor,704,Mariah Souza,21,Roupas
73,131,14.58,2024-06-08,Pastor,899,Bryan Garcia,47,Livros
73,131,14.58,2024-06-08,Pastor,920,Heloisa Vasconcelos,65,Jogos
73,131,14.58,2024-06-08,Pastor,943,Benício Melo,42,Livros
74,143,66.93,2023-12-04,Carvalho,74,Gabrielly Teixeira,63,Roupas
74,143,66.93,2023-12-04,Carvalho,90,Natália Viana,60,Livros
74,143,66.93,2023-12-04,Carvalho,507,Augusto Camargo,56,Eletrônicos
74,143,66.93,2023-12-04,Carvalho,603,Ágatha da Costa,80,Jogos
74,143,66.93,2023-12-04,Carvalho,660,Felipe Duarte,48,Roupas
75,173,61.65,2023-12-05,Peixoto do Oeste,75,Matheus Silva,42,Roupas
76,146,23.45,2024-09-16,Ramos,13,Dr. Davi Rocha,54,Livros
76,146,23.45,2024-09-16,Ramos,76,Bruna da Mota,73,Jogos
76,146,23.45,2024-09-16,Ramos,187,Gael Henrique da Cruz,68,Jogos
76,146,23.45,2024-09-16,Ramos,578,Mathias Correia,43,Livros
76,146,23.45,2024-09-16,Ramos,994,Dra. Cecília Sousa,68,Livros
77,197,8.56,2024-05-12,Mendonça Paulista,77,Lucca Vieira,31,Roupas
78,137,13.67,2024-03-06,Porto,78,Diego Teixeira,31,Roupas
78,137,13.67,2024-03-06,Porto,372,Zoe Fernandes,23,Eletrônicos
78,137,13.67,2024-03-06,Porto,573,Yasmin Montenegro,24,Jogos
78,137,13.67,2024-03-06,Porto,721,Davi Miguel Correia,33,Eletrodomésticos
78,137,13.67,2024-03-06,Porto,799,Davi Aparecida,47,Eletrônicos
78,137,13.67,2024-03-06,Porto,963,Jade Garcia,70,Eletrônicos
79,149,91.14,2024-04-05,Pereira das Pedras,79,Hellena Silveira,22,Eletrodomésticos
80,186,54.66,2024-03-23,da Mota,80,Nicole Souza,18,Jogos
80,186,54.66,2024-03-23,da Mota,114,Sr. Pedro da Mota,72,Eletrodomésticos
80,186,54.66,2024-03-23,da Mota,174,Otto Barros,28,Jogos
80,186,54.66,2024-03-23,da Mota,266,Ana Lívia Fogaça,32,Eletrônicos
80,186,54.66,2024-03-23,da Mota,368,Benjamim Gonçalves,18,Eletrônicos
80,186,54.66,2024-03-23,da Mota,488,Henry Montenegro,43,Eletrônicos
80,186,54.66,2024-03-23,da Mota,508,Carlos Eduardo Martins,59,Eletrodomésticos
80,186,54.66,2024-03-23,da Mota,546,Liam Pinto,62,Livros
80,186,54.66,2024-03-23,da Mota,650,Dr. Marcelo Gonçalves,33,Jogos
80,186,54.66,2024-03-23,da Mota,788,Ester da Paz,40,Roupas
80,186,54.66,2024-03-23,da Mota,797,Sr. Theo Abreu,18,Eletrodomésticos
80,186,54.66,2024-03-23,da Mota,986,Daniel Moura,63,Eletrônicos
81,185,44.98,2023-11-06,Montenegro dos Dourados,81,Maria Eduarda Brito,38,Jogos
82,141,71.21,2023-10-19,Sousa do Sul,82,Yan Cunha,52,Jogos
82,141,71.21,2023-10-19,Sousa do Sul,166,Ana Júlia Câmara,64,Livros
83,148,87.79,2024-03-14,da Cruz,83,João Vitor Ramos,68,Livros
83,148,87.79,2024-03-14,da Cruz,292,Alice Araújo,27,Roupas
83,148,87.79,2024-03-14,da Cruz,410,Raul Borges,56,Jogos
83,148,87.79,2024-03-14,da Cruz,961,Ana Júlia da Cunha,28,Roupas
84,197,59.98,2024-09-23,Pinto,84,Carlos Eduardo Vieira,55,Jogos
84,197,59.98,2024-09-23,Pinto,325,Felipe Azevedo,69,Eletrodomésticos
84,197,59.98,2024-09-23,Pinto,553,Cecilia Sousa,38,Eletrodomésticos
84,197,59.98,2024-09-23,Pinto,615,Maria Vitória Castro,45,Livros
84,197,59.98,2024-09-23,Pinto,809,Nicole Ribeiro,18,Roupas
85,172,85.24,2024-02-19,Camargo,8,Isaac Farias,59,Roupas
85,172,85.24,2024-02-19,Camargo,85,Rafael Casa Grande,45,Jogos
85,172,85.24,2024-02-19,Camargo,88,Evelyn Barbosa,44,Eletrônicos
85,172,85.24,2024-02-19,Camargo,223,Ágatha Vasconcelos,63,Livros
85,172,85.24,2024-02-19,Camargo,331,Sra. Juliana Fernandes,80,Livros
86,125,49.08,2024-03-27,Pereira de Barros,86,Vicente Abreu,39,Eletrônicos
87,174,3.88,2024-07-04,Fogaça de Lima,87,Rael Lima,32,Livros
88,197,46.78,2023-11-16,Camargo,8,Isaac Farias,59,Roupas
88,197,46.78,2023-11-16,Camargo,85,Rafael Casa Grande,45,Jogos
88,197,46.78,2023-11-16,Camargo,88,Evelyn Barbosa,44,Eletrônicos
88,197,46.78,2023-11-16,Camargo,223,Ágatha Vasconcelos,63,Livros
88,197,46.78,2023-11-16,Camargo,331,Sra. Juliana Fernandes,80,Livros
89,181,4.51,2024-04-25,Macedo Grande,89,Dra. Vitória Marques,62,Jogos
90,174,96.45,2023-11-27,Carvalho,74,Gabrielly Teixeira,63,Roupas
90,174,96.45,2023-11-27,Carvalho,90,Natália Viana,60,Livros
90,174,96.45,2023-11-27,Carvalho,507,Augusto Camargo,56,Eletrônicos
90,174,96.45,2023-11-27,Carvalho,603,Ágatha da Costa,80,Jogos
90,174,96.45,2023-11-27,Carvalho,660,Felipe Duarte,48,Roupas
91,197,84.19,2023-12-07,Nogueira,91,Srta. Ana Luiza Lopes,70,Eletrônicos
91,197,84.19,2023-12-07,Nogueira,163,Ágatha da Mota,46,Livros
91,197,84.19,2023-12-07,Nogueira,215,Anna Liz Barros,43,Eletrodomésticos
91,197,84.19,2023-12-07,Nogueira,244,Bruna Ferreira,58,Jogos
91,197,84.19,2023-12-07,Nogueira,361,Zoe Aparecida,47,Eletrodomésticos
91,197,84.19,2023-12-07,Nogueira,374,Liam Sampaio,47,Livros
91,197,84.19,2023-12-07,Nogueira,401,Dr. Gustavo Henrique Araújo,80,Eletrodomésticos
91,197,84.19,2023-12-07,Nogueira,505,Enzo Gabriel Camargo,29,Eletrônicos
91,197,84.19,2023-12-07,Nogueira,684,Brayan Teixeira,73,Jogos
92,123,98.98,2023-12-30,Cardoso,56,Vinícius Ribeiro,80,Eletrônicos
92,123,98.98,2023-12-30,Cardoso,92,Sophie Siqueira,68,Jogos
92,123,98.98,2023-12-30,Cardoso,384,Sr. Caleb Jesus,63,Jogos
92,123,98.98,2023-12-30,Cardoso,512,Caroline Azevedo,70,Livros
93,109,25.2,2024-06-30,Pimenta,93,Erick Sales,75,Eletrodomésticos
93,109,25.2,2024-06-30,Pimenta,241,Sophie Abreu,69,Eletrodomésticos
93,109,25.2,2024-06-30,Pimenta,430,Isaque Porto,49,Roupas
93,109,25.2,2024-06-30,Pimenta,518,Stella Duarte,45,Eletrodomésticos
93,109,25.2,2024-06-30,Pimenta,522,Vitória Correia,23,Livros
93,109,25.2,2024-06-30,Pimenta,618,Dra. Ana Clara Teixeira,56,Eletrônicos
94,131,65.16,2024-04-02,Rocha,94,Daniela Peixoto,29,Jogos
94,131,65.16,2024-04-02,Rocha,164,Srta. Maria Cecília Rezende,72,Livros
94,131,65.16,2024-04-02,Rocha,173,Breno Sousa,68,Eletrodomésticos
94,131,65.16,2024-04-02,Rocha,830,Carlos Eduardo Campos,37,Eletrônicos
95,127,95.57,2024-08-12,Monteiro,95,Olívia Porto,54,Livros
95,127,95.57,2024-08-12,Monteiro,362,Isis Cavalcanti,25,Livros
95,127,95.57,2024-08-12,Monteiro,413,Luísa da Cunha,46,Eletrodomésticos
